episode,reward,accuracy,steps,loss,elapsed_time
0,-6.5,0.125,8,,9.5367431640625e-07
1,-623.5,0.17193675889328064,506,0.1741479010261356,1.1920928955078125e-06
2,-677.0,0.1678832116788321,548,0.0878023503681332,2.1457672119140625e-06
3,-568.0,0.15401785714285715,448,0.08772502972819243,9.5367431640625e-07
4,-521.0,0.17824074074074073,432,0.061556482014970645,1.1920928955078125e-06
5,-1131.0,0.1797631862217438,929,0.07547299353961218,9.5367431640625e-07
6,-340.5,0.19865319865319866,297,0.1311865613579449,1.6689300537109375e-06
7,-722.0,0.16580310880829016,579,0.06891464153449461,2.1457672119140625e-06
8,-229.5,0.1794871794871795,195,0.04660071356174273,9.5367431640625e-07
9,-785.5,0.17573872472783825,643,0.04378553109843151,7.152557373046875e-07
10,-978.5,0.18137254901960784,816,0.04103940621579943,2.86102294921875e-06
11,-38.0,0.17647058823529413,34,0.6100541984333712,7.152557373046875e-07
12,-480.5,0.22247191011235956,445,0.278558449685741,1.1920928955078125e-06
13,-926.5,0.16711229946524064,748,0.09130225026479519,9.5367431640625e-07
14,-706.0,0.19365609348914858,599,0.0599048145088944,9.5367431640625e-07
15,-517.0,0.18013856812933027,433,0.05402116228097202,3.0994415283203125e-06
16,-260.0,0.19555555555555557,225,0.043333008349355724,7.152557373046875e-07
17,1.5,0.5,16,0.0538286657538265,0.0
18,-226.5,0.2079207920792079,202,0.04972385089743034,9.5367431640625e-07
19,-1097.0,0.1933404940923738,931,0.057727459679576786,2.1457672119140625e-06
20,-695.0,0.22919937205651492,637,0.061638393587750064,9.5367431640625e-07
21,-253.5,0.21304347826086956,230,0.4197031910004823,1.1920928955078125e-06
22,-696.5,0.1791304347826087,575,0.15393386313448781,1.9073486328125e-06
23,-53.0,0.0975609756097561,41,0.08994233158485192,1.6689300537109375e-06
24,-26.5,0.09090909090909091,22,0.049427861093797466,9.5367431640625e-07
25,-143.0,0.22058823529411764,136,0.05971058269770926,1.9073486328125e-06
26,-285.5,0.1910569105691057,246,0.06796595763899689,9.5367431640625e-07
27,-815.5,0.187683284457478,682,0.06825751854964365,9.5367431640625e-07
28,-838.0,0.18077474892395984,697,0.053590343300376084,9.5367431640625e-07
29,-871.0,0.18269230769230768,728,0.06773512821854348,3.0994415283203125e-06
30,-0.5,0.0,1,0.02253827080130577,2.86102294921875e-06
31,-1.0,0.0,2,1.4371102452278137,9.5367431640625e-07
32,-750.0,0.16472545757071547,601,0.2872712863268278,2.1457672119140625e-06
33,-597.0,0.19845857418111754,519,0.10591642516090935,9.5367431640625e-07
34,-477.5,0.20047732696897375,419,0.07669092400826354,9.5367431640625e-07
35,-459.0,0.20149253731343283,402,0.05993534551483964,9.5367431640625e-07
36,-520.5,0.19690265486725664,452,0.06926567247343472,0.0
37,-306.0,0.15789473684210525,247,0.06475928579815306,9.5367431640625e-07
38,-719.0,0.20224719101123595,623,0.0818256377264929,9.5367431640625e-07
39,-107.5,0.16304347826086957,92,0.072505170924832,9.5367431640625e-07
40,-135.5,0.21705426356589147,129,0.0742202959882543,1.9073486328125e-06
41,-307.5,0.21014492753623187,276,0.41980430791559425,9.5367431640625e-07
42,-522.0,0.20518358531317496,463,0.14540966587306098,1.9073486328125e-06
